participant_id,company,country,hire_date
P100000,Novartis,UK,2023-07-20
P100001,Coca-Cola,Poland,2021-08-26
P100002,Unilever,Spain,2024-08-27
P100003,Siemens,Germany,2021-01-30
P100004,SAP,Spain,2018-12-30
P100005,Vodafone,Ireland,2018-04-04
P100006,Novartis,Ireland,2024-09-04
P100007,Novartis,Germany,2024-10-31
P100008,SAP,Spain,2023-04-07
P100009,Coca-Cola,UK,2018-09-25
P100010,Barclays,Germany,2020-02-03
P100011,BP,Poland,2018-04-17
P100012,Siemens,Poland,2018-05-14
P100013,Unilever,Poland,2019-10-02
P100014,Coca-Cola,UK,2022-01-27
P100015,AstraZeneca,Germany,2018-06-20
P100016,DHL,UK,2025-01-03
P100017,SAP,Ireland,2021-03-29
P100018,Unilever,Poland,2019-11-17
P100019,Siemens,Ireland,2021-09-03
P100020,Novartis,Ireland,2023-08-17
P100021,Barclays,Netherlands,2020-03-23
P100022,Vodafone,Ireland,2018-05-04
P100023,BP,Ireland,2018-05-13
P100024,Novartis,Ireland,2024-01-25
P100025,AstraZeneca,Ireland,2018-10-18
P100026,Coca-Cola,Ireland,2022-07-11
P100027,SAP,Germany,2020-09-26
P100028,SAP,Germany,2023-07-15
P100029,Siemens,Netherlands,2018-06-07
P100030,Novartis,Poland,2024-05-23
P100031,Vodafone,Ireland,2022-12-21
P100032,Barclays,Germany,2021-03-14
P100033,Barclays,Poland,2019-06-23
P100034,Coca-Cola,Ireland,2024-12-15
P100035,AstraZeneca,Ireland,2020-02-25
P100036,SAP,Ireland,2021-06-29
P100037,Coca-Cola,Poland,2020-10-21
P100038,AstraZeneca,Spain,2019-08-23
P100039,Siemens,Ireland,2020-12-19
P100040,Coca-Cola,Netherlands,2019-01-29
P100041,Unilever,Netherlands,2018-01-05
P100042,Siemens,Ireland,2020-01-24
P100043,Barclays,Spain,2018-10-19
P100044,Unilever,UK,2020-12-14
P100045,Unilever,Spain,2024-02-22
P100046,Barclays,Spain,2019-02-27
P100047,AstraZeneca,Ireland,2018-01-04
P100048,Siemens,Netherlands,2018-10-16
P100049,SAP,Ireland,2021-08-14
P100050,AstraZeneca,Germany,2019-12-16
P100051,SAP,Netherlands,2021-06-26
P100052,Novartis,Germany,2018-03-18
P100053,Siemens,Germany,2020-05-16
P100054,Siemens,Ireland,2020-12-02
