event_id,participant_id,company,plan_type,vest_date,shares,price_usd,value_usd,status
V00521,P100360,BP,ESPP,2025-07-31,101,37.7,3807.67,vested
V00395,P100157,Siemens,RSU,2025-07-31,42,60.6,2545.04,vested
V01753,P100243,DHL,ESPP,2025-07-31,74,71.41,5284.19,vested
V00338,P100043,Barclays,RSU,2025-07-31,242,192.47,46577.22,vested
V00075,P100059,SAP,SAYE,2025-08-01,177,38.58,6829.06,vested
V00028,P100307,Siemens,RSU,2025-08-01,139,81.89,11383.14,vested
V01270,P100301,SAP,SAYE,2025-08-02,226,21.64,4890.41,vested
V01313,P100417,Novartis,ESPP,2025-08-03,45,28.72,1292.59,vested
V00707,P100344,Novartis,SAYE,2025-08-03,102,13.23,1349.62,vested
V00868,P100437,Coca-Cola,RSU,2025-08-03,134,69.44,9304.44,vested
V00725,P100161,BP,RSU,2025-08-04,248,206.01,51091.28,vested
V01296,P100370,Novartis,RSU,2025-08-04,80,81.47,6517.36,vested
V00480,P100196,DHL,RSU,2025-08-04,113,82.19,9287.83,vested
V00281,P100195,AstraZeneca,RSU,2025-08-05,109,84.12,9168.98,vested
V01478,P100095,Siemens,RSU,2025-08-06,118,194.11,22904.59,vested
V01804,P100059,SAP,SAYE,2025-08-06,69,24.21,1670.67,vested
V00522,P100079,Novartis,RSU,2025-08-07,103,217.79,22431.94,vested
V01878,P100193,Unilever,RSU,2025-08-07,229,187.02,42827.86,vested
V01182,P100245,Unilever,SAYE,2025-08-11,195,13.47,2625.86,vested
V01215,P100301,SAP,RSU,2025-08-12,8,95.36,762.91,vested
V01584,P100128,SAP,RSU,2025-08-13,162,105.45,17083.0,vested
V01054,P100307,Siemens,RSU,2025-08-13,238,143.78,34219.72,vested
V00250,P100040,Coca-Cola,RSU,2025-08-15,22,97.59,2147.01,vested
V00169,P100045,Unilever,RSU,2025-08-15,231,105.87,24456.14,vested
V01867,P100389,Unilever,RSU,2025-08-16,75,153.28,11496.17,vested
V01883,P100472,SAP,RSU,2025-08-16,134,114.25,15308.84,vested
V00217,P100393,Siemens,RSU,2025-08-17,166,93.32,15491.92,vested
V01884,P100016,DHL,RSU,2025-08-17,12,160.52,1926.2,vested
V00340,P100360,BP,RSU,2025-08-18,96,150.12,14411.61,vested
V00791,P100183,Barclays,RSU,2025-08-18,189,70.3,13285.91,vested
V01388,P100056,Coca-Cola,RSU,2025-08-18,6,206.95,1241.69,vested
V01198,P100169,Vodafone,RSU,2025-08-18,190,166.89,31708.9,vested
V01521,P100050,AstraZeneca,RSU,2025-08-18,79,102.95,8132.84,vested
